"WIN_Site_ID","Longitude","Latitude","DON"
61710097,115.811527,-31.406835,1.7
61611257,115.72847,-31.633183,0.295
61611256,115.72847,-31.633183,0.97
61611249,115.735685,-31.635277,0.098
61610737,115.823376,-31.725301,0.626666666666667
61610730,115.831873,-31.738739,0.900769230769231
61610729,115.831852,-31.738739,0.693846153846154
61610728,115.831821,-31.738739,1.03307692307692
61610628,115.784403,-31.725629,0.4325
61419855,115.846834,-32.214052,0.251428571428571
61419853,115.832217,-32.216794,1.91428571428571
61419852,115.832211,-32.216782,1.08571428571429
61419851,115.832204,-32.21677,1.51142857142857
61410370,115.841244,-32.145235,0.53
61410369,115.841255,-32.14519,0.0941428571428571
61410368,115.819603,-32.149392,1.37714285714286
61410367,115.819603,-32.149419,1.16142857142857
