"WIN_Site_ID","Longitude","Latitude","DOC"
61611257,115.72847,-31.633183,7.5
61611256,115.72847,-31.633183,22.5
61611249,115.735685,-31.635277,2
61610737,115.823376,-31.725301,34.6666666666667
61610730,115.831873,-31.738739,16.6923076923077
61610729,115.831852,-31.738739,16
61610728,115.831821,-31.738739,19.9230769230769
61610628,115.784403,-31.725629,9
61419855,115.846834,-32.214052,6.85714285714286
61419853,115.832217,-32.216794,47.4285714285714
61419852,115.832211,-32.216782,44.2857142857143
61419851,115.832204,-32.21677,44.2857142857143
61410370,115.841244,-32.145235,20.8571428571429
61410369,115.841255,-32.14519,3
61410368,115.819603,-32.149392,29.7142857142857
61410367,115.819603,-32.149419,27.1428571428571
