"WIN_Site_ID","Longitude","Latitude","DOC","DON","NOx","NH4"
61613213,115.964113,-31.704099,75,1.6,0.005,0.076
61410715,115.851815,-32.14185,108,2.86,0.005,0.54
61618440,115.873964,-31.7899,5.4,0.25,0.32,0.01
61618501,115.927811,-32.094065,2.3,2.6,0.2,0.01
61410718,115.914668,-32.156115,23,0.5,0.013,0.16
61618500,115.690363,-31.575226,6.4,1.58,0.02,6.9
61618444,115.962018,-31.835566,19.9,1.19,0.005,0.01
61618513,115.763667,-31.865862,3.8,1.1,3.1,0.1
61613231,115.914613,-31.70492,61,2.72,0.005,0.78
61611289,115.86854,-31.711088,12.8,0.25,0.005,0.01
NA,115.9286,-32.159003,46,1.2,0.031,0.69
NA,115.949413,-32.164861,23,0.67,0.005,0.27
NA,115.949445,-32.164825,39,0.69,0.005,0.64
NA,115.940304,-32.151939,41,1.4,0.005,0.12
NA,115.822338,-32.076871,44,2.3,0.035,0.32
NA,115.827589,-32.07885,43,1.1,0.015,0.23
61410460,115.830101,-32.078765,25,0.98,0.01,0.37
NA,115.940357,-32.152003,41,1.2,0.005,1.2
61611423,115.771047,-31.721887,32,1.6,0.005,0.2
NA,115.943078,-32.164267,23,0.68,0.005,1.4
NA,115.9452,-32.165,14,0.25,0.005,0.67
NA,115.945191,-32.164961,26,0.51,0.005,0.33
61611440,115.811689,-31.728035,24,1.4,0.03,0.39
NA,115.886302,-31.424498,14,0.25,0.18,0.48
NA,115.886301,-31.424468,44,0.9,0.005,3.6
NA,115.886302,-31.42448,17,1.2,0.019,2.9
NA,115.894989,-31.424368,120,3.7,0.1,0.4
NA,115.894973,-31.424353,5,0.25,0.005,0.91
NA,115.895025,-31.424345,50,2.1,0.005,0.91
NA,115.75613,-31.4497,14,0.25,0.005,0.39
NA,115.75613,-31.4497,15,0.25,0.005,0.37
NA,115.75613,-31.4497,8,0.25,0.014,0.48
NA,115.757025,-31.450559,10,0.25,0.005,0.32
NA,115.757025,-31.450559,12,0.25,0.005,0.33
NA,115.757025,-31.450559,9,0.25,0.005,0.57
NA,115.760519,-31.453861,15,0.25,0.005,0.54
61611834,115.683989,-31.555703,0.5,0.25,0.043,0.01
61611835,115.683979,-31.555702,0.5,0.25,0.27,0.01
61611836,115.683958,-31.5557,0.5,0.25,0.3,0.01
61611837,115.688324,-31.557651,0.5,0.25,0.013,0.01
61611838,115.688334,-31.557649,0.5,0.25,0.058,0.01
61611839,115.688342,-31.557665,0.5,0.25,0.29,0.01
61611840,115.687104,-31.56214,0.5,0.25,0.19,0.01
61611841,115.677014,-31.544161,4,0.25,0.005,0.23
61611842,115.677009,-31.544034,1,0.25,0.005,1.3
61611843,115.677026,-31.544043,4,0.25,0.005,0.18
61611844,115.678855,-31.548336,7,0.25,0.019,0.88
61611845,115.682584,-31.54344,1,0.25,0.005,0.031
61611846,115.682584,-31.54345,0.5,0.25,0.12,0.01
61611847,115.682584,-31.543465,1,0.25,0.5,0.01
61611848,115.956928,-31.747287,27,0.25,0.005,0.42
61611849,115.973907,-31.753273,68,1.9,0.47,0.53
61611853,115.914963,-31.704879,120,1.2,2.9,5.7
61611861,115.852718,-31.556181,3,0.25,0.01,0.29
61611862,115.844802,-31.556471,4,0.25,0.005,0.16
61611863,115.844802,-31.556471,3,0.25,0.005,0.3
NA,115.914813,-31.463384,30,0.56,0.013,0.31
NA,115.914823,-31.463411,31,0.25,0.01,0.34
NA,115.914855,-31.463402,10,0.25,0.005,0.27
61611872,115.682999,-31.580337,71,0.25,0.011,12
61611870,115.811807,-31.813016,22,1.4,0.005,0.18
61611877,115.788231,-31.877304,6,0.25,0.013,0.01
61611876,115.794261,-31.877803,2,0.25,0.35,0.022
NA,115.937067,-31.990817,5.8,0.8,0.14,0.06
NA,115.936467,-31.99195,3.6,0.51,0.005,0.19
NA,115.936417,-31.9904,2.6,1.86,0.02,0.12
NA,115.935908,-31.991535,13.8,1.16,0.01,0.43
61410367,115.819603,-32.149419,27.1428571428571,1.16142857142857,0.410857142857143,2.19142857142857
61410368,115.819603,-32.149392,29.7142857142857,1.37714285714286,0.543142857142857,3.93857142857143
61410369,115.841255,-32.14519,3,0.0941428571428571,0.0155714285714286,0.197142857142857
61410370,115.841244,-32.145235,20.8571428571429,0.53,0.0104285714285714,0.294285714285714
61410371,115.8412,-32.1452,50,1.45714285714286,0.0125714285714286,0.422857142857143
61410718,115.914668,-32.156115,23,0.5,0.013,0.16
61419851,115.832204,-32.21677,44.2857142857143,1.51142857142857,0.0101428571428571,5.37142857142857
61419852,115.832211,-32.216782,44.2857142857143,1.08571428571429,0.01,5.8
61419853,115.832217,-32.216794,47.4285714285714,1.91428571428571,0.0142857142857143,4.71428571428571
61419855,115.846834,-32.214052,6.85714285714286,0.251428571428571,0.0378571428571429,0.0831428571428571
61419856,115.846845,-32.214079,12.5714285714286,0.265714285714286,0.0375714285714286,0.091
61419857,115.846844,-32.214106,4.66666666666667,0.251166666666667,1.47,0.0101666666666667
61610628,115.784403,-31.725629,9,0.4325,0.01,1.55
61610629,115.784335,-31.725631,2.75,0.1125,0.01275,0.03225
61610728,115.831821,-31.738739,19.9230769230769,1.03307692307692,0.690769230769231,0.156769230769231
61610729,115.831852,-31.738739,16,0.693846153846154,0.312923076923077,3.83846153846154
61610730,115.831873,-31.738739,16.6923076923077,0.900769230769231,0.893461538461538,0.931230769230769
61610736,115.823376,-31.725301,71.6666666666667,1.63333333333333,0.23,0.0823333333333333
61610737,115.823376,-31.725301,34.6666666666667,0.626666666666667,0.0103333333333333,0.34
61610738,115.823376,-31.725301,34.6666666666667,0.636666666666667,0.01,0.463333333333333
61610820,115.853211,-31.73759,9,0.176923076923077,0.0298461538461538,0.173846153846154
61610822,115.85321,-31.737644,9.84615384615385,0.154615384615385,0.0252307692307692,0.0433076923076923
61611110,115.819604,-32.14932,10.5714285714286,1.11857142857143,4.64428571428571,0.0184285714285714
61611228,115.73564,-31.635285,2.25,0.125,0.01175,0.1045
61611248,115.735669,-31.635282,2,0.10125,0.01,0.265
61611249,115.735685,-31.635277,2,0.098,0.01,0.1055
61611256,115.72847,-31.633183,22.5,0.97,0.01,0.515
61611257,115.72847,-31.633183,7.5,0.295,0.01,0.31
61613213,115.964113,-31.704099,84.25,1.6075,0.016875,0.163375
61710097,115.811527,-31.406835,99,1.7,0.048,0.41
61611876,115.79426132,-31.87780318,2.375,0.109875,1.275,0.008125
61611877,115.78823126,-31.87730381,5,0.345,3.67533333333333,0.009
61611870,115.81180651,-31.81301598,22,1.4,0.005,0.18
61611872,115.68299953,-31.58033717,71,0.22,0.011,12
61611861,115.85271771,-31.55618096,4.8125,0.1325,0.007625,0.285
61611853,115.91496247,-31.70487865,133.75,2.95,1.229875,4.6625
61611849,115.97390668,-31.75327278,65.875,1.675,0.208375,0.58625
61611848,115.95692821,-31.74728717,63.125,1.095,0.029625,0.185
61611847,115.68258393,-31.54346451,9.30769230769231,0.363307692307692,4.64230769230769,0.00769230769230769
61611844,115.67885475,-31.54833576,7,0.28,0.019,0.88
61611843,115.67702571,-31.54404328,4.4375,0.22875,0.0305,0.07375
61611840,115.68710367,-31.56213984,0.5,0.13,0.19,0.012
61611839,115.68834205,-31.55766538,1.25,0.0435,0.416666666666667,0.005
61611836,115.68395791,-31.55569952,1.4375,0.048,0.22225,0.00825
61611440,115.81168905,-31.72803453,24,1.45666666666667,0.331111111111111,0.494444444444444
61611423,115.77104743,-31.72188652,55.2222222222222,2.51111111111111,0.772333333333333,0.445555555555556
61410460,115.83010114,-32.07876538,55.7,1.877,0.0324,0.2514
61410718,115.91466802,-32.15611482,21.4285714285714,0.52,0.0155714285714286,0.262285714285714
61613213,115.96411323,-31.70409946,84.25,1.6075,0.014375,0.163375
61419857,115.84684423,-32.21410625,4.66666666666667,0.251166666666667,1.47,0.006
61419856,115.84684457,-32.21407919,12.5714285714286,0.265714285714286,0.0347142857142857,0.091
61419855,115.8468343,-32.21405204,6.85714285714286,0.251428571428571,0.035,0.0824285714285714
61419853,115.83221722,-32.21679432,47.4285714285714,1.91428571428571,0.0121428571428571,4.71428571428571
61419852,115.83221122,-32.21678236,44.2857142857143,1.08571428571429,0.00571428571428571,5.8
61419851,115.83220438,-32.21676976,44.2857142857143,1.51142857142857,0.00585714285714286,5.37142857142857
61419702,115.92402258,-32.20999846,35.5,0.52,0.013,0.605
61611248,115.73566946,-31.63528231,4,0.122142857142857,0.005,0.241428571428571
61611228,115.7356397,-31.63528472,2.28571428571429,0.129571428571429,0.00671428571428571,0.131142857142857
61611110,115.81960435,-32.14932007,10.5714285714286,1.11857142857143,4.64357142857143,0.017
61610738,115.82337627,-31.72530124,33.5,0.63625,0.006,0.9775
61610737,115.82337627,-31.72530124,33.6666666666667,0.626666666666667,0.00622222222222222,0.485555555555556
61610736,115.82337627,-31.72530124,60.1666666666667,1.45,0.224,0.076
61610685,115.81084718,-31.72783723,50,2.2,0.005,0.78
61610629,115.78433514,-31.72563112,2.05555555555556,0.113222222222222,0.0208888888888889,0.0236666666666667
61610628,115.78440325,-31.7256287,8.44444444444444,0.359444444444444,0.00644444444444444,1.22466666666667
61610001,115.92231961,-32.17722593,16.5,0.265,0.0065,0.825
61410371,115.8412,-32.1452,50,1.45714285714286,0.0125714285714286,0.422857142857143
61410369,115.84125543,-32.14519025,2.92857142857143,0.0941428571428571,0.0112857142857143,0.197142857142857
61410367,115.81960307,-32.14941929,27.1428571428571,1.16142857142857,0.410857142857143,2.19142857142857
